Date,Actual,Forecast,Lower_95,Upper_95
2025-07-31,2058,2149.7197485541174,1267.1553620272007,3032.284135081034
2025-08-03,2049,2138.041911514639,1255.4775249877225,3020.606298041556
2025-08-04,2040,2145.4695783263164,1262.9051917993997,3028.033964853233
2025-08-05,2042,2156.2690110359563,1273.7046245090396,3038.833397562873
2025-08-06,2036,2150.2488336371116,1267.684447110195,3032.8132201640283
2025-08-07,2031,2149.7197485541174,1267.1553620272007,3032.284135081034
2025-08-10,2006,2136.3577296729723,1253.7933431460556,3018.922116199889
2025-08-11,1999,2139.7007487882133,1257.1363622612967,3022.26513531513
2025-08-12,1999,2159.0263836770177,1276.461997150101,3041.5907702039344
2025-08-13,1997,2153.3301855803475,1270.7657990534308,3035.894572107264
2025-08-14,1994,2152.801100497353,1270.2367139704365,3035.36548702427
2025-08-17,1991,2139.1151023140337,1256.550715787117,3021.6794888409504
2025-08-18,1985,2139.7007487882133,1257.1363622612967,3022.26513531513
2025-08-19,1980,2152.18436333952,1269.6199768126035,3034.748749866437
2025-08-20,1983,2157.090853974609,1274.5264674476925,3039.655240501526
2025-08-21,1972,2149.7197485541174,1267.1553620272007,3032.284135081034
2025-08-24,1981,2139.1151023140337,1256.550715787117,3021.6794888409504
2025-08-25,1980,2145.4695783263164,1262.9051917993997,3028.033964853233
2025-08-26,1989,2161.9071418016256,1279.342755274709,3044.4715283285423
2025-08-27,1988,2150.2488336371116,1267.684447110195,3032.8132201640283
2025-08-28,1984,2149.7197485541174,1267.1553620272007,3032.284135081034
2025-09-01,2010,2155.299854755864,1272.7354682289474,3037.8642412827808
2025-09-02,2020,2159.0263836770177,1276.461997150101,3041.5907702039344
2025-09-03,2019,2157.090853974609,1274.5264674476925,3039.655240501526
2025-09-04,2015,2149.7197485541174,1267.1553620272007,3032.284135081034
2025-09-07,2026,2139.1151023140337,1256.550715787117,3021.6794888409504
2025-09-08,2025,2146.542769125711,1263.9783825987943,3029.1071556526276
2025-09-09,2023,2157.953192877623,1275.3888063507065,3040.51757940454
2025-09-10,2025,2154.3334813335478,1271.769094806631,3036.8978678604644
2025-09-11,2047,2165.318854521768,1282.7544679948514,3047.883241048685
2025-09-14,2083,2147.872187944187,1265.3078014172702,3030.4365744711035
2025-09-15,2086,2146.542769125711,1263.9783825987943,3029.1071556526276
2025-09-16,2095,2161.9071418016256,1279.342755274709,3044.4715283285423
2025-09-17,2096,2150.2488336371116,1267.684447110195,3032.8132201640283
2025-09-18,2096,2155.4885780922205,1272.9241915653038,3038.052964619137
2025-09-21,2134,2147.872187944187,1265.3078014172702,3030.4365744711035
2025-09-22,2141,2148.310685832703,1265.7462993057861,3030.8750723596195
2025-09-23,2145,2159.866037599984,1277.3016510730672,3042.4304241269006
2025-09-24,2138,2169.688765382091,1287.1243788551742,3052.2531519090076
2025-09-25,2132,2152.801100497353,1270.2367139704365,3035.36548702427
2025-09-28,2146,2139.1151023140337,1256.550715787117,3021.6794888409504
2025-09-29,2148,2162.9013489274544,1280.3369624005377,3045.465735454371
2025-09-30,2159,2179.353671418909,1296.7892848919923,3061.9180579458257
2025-10-01,2163,2189.440296839135,1306.8759103122184,3072.0046833660517
2025-10-02,2164,2189.9844025555353,1307.4200160286186,3072.548789082452
2025-10-05,2180,2171.4645451785595,1288.9001586516429,3054.028931705476
2025-10-06,2187,2196.78347305845,1314.2190865315333,3079.3478595853667
2025-10-07,2189,2202.625661090887,1320.0612745639705,3085.190047617804
2025-10-08,2192,2203.377608983346,1320.8132224564292,3085.9419955102626
2025-10-09,2192,2203.921714699746,1321.3573281728295,3086.486101226663
2025-10-13,2223,2193.902714933842,1311.3383284069255,3076.467101460759
2025-10-14,2235,2254.41014699141,1371.8457604644932,3136.9745335183266
2025-10-15,2225,2239.9568632645864,1357.3924767376698,3122.521249791503
2025-10-16,2233,2246.069204700462,1363.5048181735451,3128.6335912273785
2025-10-19,2237,2234.498865628426,1351.9344791015092,3117.0632521553425
2025-10-20,2243,2233.16944680995,1350.6050602830333,3115.7338333368666
2025-10-21,2251,2271.3656865557114,1388.8013000287947,3153.930073082628
2025-10-22,2261,2272.301467403567,1389.7370808766505,3154.865853930484
2025-10-23,2266,2280.529467950726,1397.9650814238094,3163.0938544776427
2025-10-26,2276,2254.3257157429916,1371.761329216075,3136.8901022699083
2025-10-27,2282,2260.6801917552743,1378.1158052283577,3143.244578282191
2025-10-28,2286,2294.9771182167383,1412.4127316898216,3177.541504743655
2025-10-29,2280,2283.3188100522243,1400.7544235253076,3165.883196579141
2025-10-30,2287,2289.6317453067277,1407.067358779811,3172.1961318336444
2025-11-02,2277,2272.1850787291464,1389.6206922022297,3154.749465256063
2025-11-03,2269,2257.992714160407,1375.4283276334904,3140.557100687324
2025-11-04,2270,2273.163806306581,1390.5994197796645,3155.728192833498
2025-11-05,2272,2272.301467403567,1389.7370808766505,3154.865853930484
2025-11-06,2264,2264.9303619830753,1382.3659754561586,3147.494748509992
2025-11-09,2294,2254.3257157429916,1371.761329216075,3136.8901022699083
2025-11-11,2294,2303.0096405101867,1420.44525398327,3185.5740270371034
2025-11-12,2302,2310.904387237326,1428.3400007104092,3193.4687737642425
2025-11-13,2317,2319.6386246055895,1437.0742380786728,3202.203011132506
2025-11-16,2340,2299.1367427111504,1416.5723561842337,3181.701129238067
2025-11-17,2343,2334.403505812683,1451.8391192857662,3216.9678923395995
2025-11-18,2345,2345.2029385223227,1462.638551995406,3227.7673250492394
2025-11-19,2340,2342.264113066714,1459.6997265397972,3224.8284995936306
2025-11-20,2340,2345.4956963779814,1462.9313098510647,3228.060082904898
2025-11-23,2375,2336.8061154305533,1454.2417289036366,3219.37050195747
2025-11-24,2371,2347.658834820632,1465.0944482937152,3230.2232213475486
2025-11-25,2375,2362.899822013,1480.3354354860835,3245.464208539917
2025-11-27,2389,2368.7617205982515,1486.1973340713348,3251.326107125168
2025-11-30,2415,2366.988929861066,1484.4245433341493,3249.5533163879827
2025-12-01,2410,2399.5610764431535,1516.9966899162368,3282.12546297007
2025-12-02,2407,2401.196872720654,1518.6324861937373,3283.7612592475707
2025-12-03,2419,2401.539686658095,1518.9753001311783,3284.1040731850117
2025-12-04,2418,2417.9065895797116,1535.342203052795,3300.4709761066283
2025-12-07,2429,2414.967276063671,1532.4028895367542,3297.5316625905875
2025-12-08,2440,2406.202502962023,1523.6381164351064,3288.76688948894
2025-12-09,2443,2415.805359388722,1533.2409728618054,3298.3697459156388
2025-12-10,2439,2412.317609885707,1529.7532233587904,3294.8819964126237
2025-12-11,2437,2421.6672579739734,1539.1028714470567,3304.23164450089
2025-12-14,2462,2412.2099034226094,1529.6455168956927,3294.774289949526
2025-12-15,2470,2403.3217448374153,1520.7573583104986,3285.886131364332
2025-12-16,2468,2418.68611751333,1536.1217309864132,3301.2505040402466
2025-12-17,2481,2415.0749825267685,1532.5105959998518,3297.639369053685
2025-12-18,2472,2414.825237636476,1532.260851109559,3297.3896241633925
2025-12-21,2484,2413.8940852642763,1531.3296987373596,3296.458471791193
